,path,emotion
41,dataset/CA/happy\rockikz6_happy.wav,happy
42,dataset/CA/happy\rockikz7_happy.wav,happy
43,dataset/CA/happy\rockikz8_happy.wav,happy
44,dataset/CA/happy\rockikz9_happy.wav,happy
45,dataset/CA/happy\rockikzA_happy.wav,happy
46,dataset/CA/happy\rockikzB_happy.wav,happy
47,dataset/CA/happy\rockikzC_happy.wav,happy
48,dataset/CA/happy\soumaya1_happy.wav,happy
49,dataset/CA/happy\soumaya2_happy.wav,happy
50,dataset/CA/happy\soumaya3_happy.wav,happy
51,dataset/CA/happy\soumaya4_happy.wav,happy
52,dataset/CA/happy\soumaya5_happy.wav,happy
53,dataset/CA/happy\soumaya6_happy.wav,happy
54,dataset/CA/happy\soumaya7_happy.wav,happy
55,dataset/CA/happy\soumaya8_happy.wav,happy
56,dataset/CA/happy\soumaya9_happy.wav,happy
57,dataset/CA/happy\soumayaA_happy.wav,happy
58,dataset/CA/happy\soumayaB_happy.wav,happy
59,dataset/CA/happy\soumayaC_happy.wav,happy
60,dataset/CA/happy\this-is-good_happy.wav,happy
61,dataset/CA/happy\zaki1_happy.wav,happy
62,dataset/CA/happy\zaki2_happy.wav,happy
63,dataset/CA/happy\zaki3_happy.wav,happy
64,dataset/CA/happy\zaki4_happy.wav,happy
65,dataset/CA/happy\zaki5_happy.wav,happy
66,dataset/CA/happy\zaki6_happy.wav,happy
67,dataset/CA/happy\zaki7_happy.wav,happy
68,dataset/CA/happy\zaki8_happy.wav,happy
69,dataset/CA/happy\zaki9_happy.wav,happy
70,dataset/CA/happy\zakiA_happy.wav,happy
71,dataset/CA/happy\zakiB_happy.wav,happy
72,dataset/CA/happy\zakiC_happy.wav,happy
73,dataset/CA/neutral\hamed1_neutral.wav,neutral
74,dataset/CA/neutral\hamed2_neutral.wav,neutral
75,dataset/CA/neutral\hamed3_neutral.wav,neutral
76,dataset/CA/neutral\hamed4_neutral.wav,neutral
77,dataset/CA/neutral\hamed5_neutral.wav,neutral
78,dataset/CA/neutral\hamed6_neutral.wav,neutral
79,dataset/CA/neutral\hamed7_neutral.wav,neutral
80,dataset/CA/neutral\hamed8_neutral.wav,neutral
81,dataset/CA/neutral\hamed9_neutral.wav,neutral
82,dataset/CA/neutral\hamedA_neutral.wav,neutral
83,dataset/CA/neutral\hamedB_neutral.wav,neutral
84,dataset/CA/neutral\hamedC_neutral.wav,neutral
85,dataset/CA/neutral\nadjib1_neutral.wav,neutral
86,dataset/CA/neutral\nadjib2_neutral.wav,neutral
87,dataset/CA/neutral\nadjib3_neutral.wav,neutral
88,dataset/CA/neutral\nadjib4_neutral.wav,neutral
89,dataset/CA/neutral\nadjib5_neutral.wav,neutral
90,dataset/CA/neutral\nadjib6_neutral.wav,neutral
91,dataset/CA/neutral\nadjib7_neutral.wav,neutral
92,dataset/CA/neutral\nadjib8_neutral.wav,neutral
93,dataset/CA/neutral\nadjib9_neutral.wav,neutral
94,dataset/CA/neutral\nadjibA_neutral.wav,neutral
95,dataset/CA/neutral\nadjibB_neutral.wav,neutral
96,dataset/CA/neutral\nadjibC_neutral.wav,neutral
97,dataset/CA/neutral\oumaima1_neutral.wav,neutral
98,dataset/CA/neutral\oumaima2_neutral.wav,neutral
99,dataset/CA/neutral\oumaima3_neutral.wav,neutral
100,dataset/CA/neutral\oumaima4_neutral.wav,neutral
101,dataset/CA/neutral\oumaima5_neutral.wav,neutral
102,dataset/CA/neutral\oumaima6_neutral.wav,neutral
103,dataset/CA/neutral\oumaima7_neutral.wav,neutral
104,dataset/CA/neutral\oumaima8_neutral.wav,neutral
105,dataset/CA/neutral\oumaima9_neutral.wav,neutral
106,dataset/CA/neutral\oumaimaA_neutral.wav,neutral
107,dataset/CA/neutral\oumaimaB_neutral.wav,neutral
108,dataset/CA/neutral\oumaimaC_neutral.wav,neutral
109,dataset/CA/neutral\rockikz1_neutral.wav,neutral
110,dataset/CA/neutral\rockikz2_neutral.wav,neutral
111,dataset/CA/neutral\rockikz3_neutral.wav,neutral
112,dataset/CA/neutral\rockikz4_neutral.wav,neutral
113,dataset/CA/neutral\rockikz5_neutral.wav,neutral
114,dataset/CA/neutral\rockikz6_neutral.wav,neutral
115,dataset/CA/neutral\rockikz7_neutral.wav,neutral
116,dataset/CA/neutral\rockikz8_neutral.wav,neutral
117,dataset/CA/neutral\rockikz9_neutral.wav,neutral
118,dataset/CA/neutral\rockikzA_neutral.wav,neutral
119,dataset/CA/neutral\rockikzB_neutral.wav,neutral
120,dataset/CA/neutral\rockikzC_neutral.wav,neutral
121,dataset/CA/neutral\soumaya1_neutral.wav,neutral
122,dataset/CA/neutral\soumaya2_neutral.wav,neutral
123,dataset/CA/neutral\soumaya3_neutral.wav,neutral
124,dataset/CA/neutral\soumaya4_neutral.wav,neutral
125,dataset/CA/neutral\soumaya5_neutral.wav,neutral
126,dataset/CA/neutral\soumaya6_neutral.wav,neutral
127,dataset/CA/neutral\soumaya7_neutral.wav,neutral
128,dataset/CA/neutral\soumaya8_neutral.wav,neutral
129,dataset/CA/neutral\soumaya9_neutral.wav,neutral
130,dataset/CA/neutral\soumayaA_neutral.wav,neutral
131,dataset/CA/neutral\soumayaB_neutral.wav,neutral
132,dataset/CA/neutral\soumayaC_neutral.wav,neutral
133,dataset/CA/neutral\walidlite1_neutral.wav,neutral
134,dataset/CA/neutral\walidlite2_neutral.wav,neutral
135,dataset/CA/neutral\walidlite3_neutral.wav,neutral
136,dataset/CA/neutral\walidlite4_neutral.wav,neutral
137,dataset/CA/neutral\walidlite5_neutral.wav,neutral
138,dataset/CA/neutral\walidlite6_neutral.wav,neutral
139,dataset/CA/neutral\walidlite7_neutral.wav,neutral
140,dataset/CA/neutral\walidlite8_neutral.wav,neutral
141,dataset/CA/neutral\walidlite9_neutral.wav,neutral
142,dataset/CA/neutral\walidliteA_neutral.wav,neutral
143,dataset/CA/neutral\walidliteB_neutral.wav,neutral
144,dataset/CA/neutral\walidliteC_neutral.wav,neutral
145,dataset/CA/neutral\zaki1_neutral.wav,neutral
146,dataset/CA/neutral\zaki2_neutral.wav,neutral
147,dataset/CA/neutral\zaki3_neutral.wav,neutral
148,dataset/CA/neutral\zaki4_neutral.wav,neutral
149,dataset/CA/neutral\zaki5_neutral.wav,neutral
150,dataset/CA/neutral\zaki6_neutral.wav,neutral
151,dataset/CA/neutral\zaki7_neutral.wav,neutral
152,dataset/CA/neutral\zaki8_neutral.wav,neutral
153,dataset/CA/neutral\zaki9_neutral.wav,neutral
154,dataset/CA/neutral\zakiA_neutral.wav,neutral
155,dataset/CA/neutral\zakiB_neutral.wav,neutral
156,dataset/CA/neutral\zakiC_neutral.wav,neutral
